Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
290025,1916/05/20,"18 h 30 min","CORNOUAILLE (W. PLOUAY)",BRETAGNE,,221072.15,6774981.91,47.90,-3.42,5,"ASSEZ SURE"
650278,1916/06/26,"6 h 40 min","BIGORRE (PIC DU MIDI)","PYRENEES CENTRALES",,463168.99,6209973.44,42.95,0.10,5,INCERTAINE
1130190,1916/07/26,"23 h 30 min","PIEMONT (BUSSOLENO)",ITALIE,,1026088.96,6456798.38,45.13,7.15,5,"INFORMATION ISOLÉE"
1130191,1916/08/13,"6 h 30 min","PIEMONT (CUNEO)",ITALIE,,1060957.95,6375286.13,44.38,7.53,4,"INFORMATION ISOLÉE"
1130192,1916/08/19,"6 h 30 min","PIEMONT (BAGNI DI VINADIO)",ITALIE,,1025639.79,6364085.77,44.30,7.08,5.5,"INFORMATION ISOLÉE"
50034,1916/09/04,,"QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES","GROUPE DE SECOUSSES D UN ESSAIM",989226.09,6403081.32,44.67,6.65,,
650515,1916/09/05,"5 h 50 min","LAVEDAN (W. ARGELES-GAZOST ?)","PYRENEES CENTRALES",,445702.95,6216202.94,43.00,-0.12,,
1130193,1916/10/06,"6 h 15 min","PIEMONT (PINEROLO)",ITALIE,,1040689.28,6429775.77,44.88,7.32,5,"INFORMATION ISOLÉE"
650516,1916/11/27,,"BIGORRE (LOURDES)","PYRENEES CENTRALES",,451569.12,6227100.97,43.10,-0.05,,"INFORMATION ISOLÉE"
850031,1916/12/31,"21 h 55 min","BOCAGE VENDEEN (LA ROCHE-SUR-YON)","PAYS NANTAIS ET VENDEEN",,377371.29,6619722.04,46.60,-1.22,5,INCERTAINE
1130194,1917/01/07,"2 h","RIVIERA DI LEVANTE (GENES)",ITALIE,,1173290.48,6386465.01,44.42,8.95,2.5,"INFORMATION ISOLÉE"
1130195,1917/01/07,"2 h 45 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1173290.48,6386465.01,44.42,8.95,2.5,"INFORMATION ISOLÉE"
1130196,1917/01/07,"3 h 39 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1128793.24,6375841.09,44.35,8.38,5,"ASSEZ SURE"
1130197,1917/01/07,"3 h 45 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1137259.64,6369000.73,44.28,8.48,,
1130198,1917/01/07,"6 h 1 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1124816.73,6375570.84,44.35,8.33,4,"ASSEZ SURE"
1130199,1917/01/07,"16 h 54 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1124816.73,6375570.84,44.35,8.33,4.5,INCERTAINE
1130200,1917/01/08,"0 h 25 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1124816.73,6375570.84,44.35,8.33,4,"ASSEZ SURE"
1130201,1917/01/08,"2 h","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1137259.64,6369000.73,44.28,8.48,,
1130202,1917/01/13,"11 h 30 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1168629.64,6395397.91,44.50,8.90,,
1130203,1917/01/19,"11 h 32 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1138586.58,6369093.16,44.28,8.50,4.5,INCERTAINE
1130204,1917/01/22,"2 h 42 min","RIVIERA DI PONENTE (SAVONA)",ITALIE,,1137259.64,6369000.73,44.28,8.48,4,"INFORMATION ISOLÉE"
1130205,1917/01/27,"3 h","RIVIERA DI PONENTE (SAN REMO)",ITALIE,,1083424.81,6311685.85,43.80,7.77,3,"INFORMATION ISOLÉE"
1120296,1917/03/27,"16 h 41 min 59 sec","JURA SUISSE (HOFSTETTEN)",SUISSE,,1037653.21,6715104.38,47.45,7.48,5,INCERTAINE
650432,1917/04/25,"4 h 35 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,463713.35,6224788.80,43.08,0.10,,
1130206,1917/05/01,"4 h 10 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1172106.21,6384518.95,44.40,8.93,,
1130207,1917/05/01,"8 h 30 min","RIVIERA DI PONENTE (PIETRA LIGURE)",ITALIE,,1113739.81,6341429.40,44.05,8.17,5,INCERTAINE
1130208,1917/05/14,"12 h 15 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1165350.70,6385870.65,44.42,8.85,4,"INFORMATION ISOLÉE"
1130209,1917/05/18,"14 h 56 min","RIVIERA DI LEVANTE (CHIAVARI)",ITALIE,,1204312.51,6381454.27,44.35,9.33,5,INCERTAINE
1130210,1917/05/20,"2 h 40 min","RIVIERA DI LEVANTE (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,2,"INFORMATION ISOLÉE"
1130211,1917/05/22,"13 h 27 min","RIVIERA DI LEVANTE (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,3,"INFORMATION ISOLÉE"
50035,1917/06,,"BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES","GROUPE DE SECOUSSES D UN ESSAIM",986714.23,6428909.85,44.90,6.63,,
1110064,1917/06/21,"0 h 9 min","BODENSEE (KONSTANZ ?)",ALLEMAGNE,,1162329.64,6747648.97,47.67,9.17,6,INCERTAINE
1140019,1917/06/22,,"CERDAGNE (LLIVIA)",ESPAGNE,,616264.52,6152405.99,42.47,1.98,5,INCERTAINE
1130212,1917/07/15,"4 h 49 min","PIEMONT (FENESTRELLE)",ITALIE,,1022790.34,6341689.77,44.10,7.03,4,INCERTAINE
1140073,1917/07/26,,"RIBAGORZA (BENASQUE)",ESPAGNE,,507077.62,6175131.41,42.65,0.65,,
660051,1917/09/28,"15 h 43 min 37 sec","PLAINE DU ROUSSILLON (ELNE)","PYRENEES ORIENTALES",,700000.00,6168552.81,42.62,3.00,5,"ASSEZ SURE"
660052,1917/10/10,"21 h 27 min","PLAINE DU ROUSSILLON (ST-CYPRIEN ?)","PYRENEES OREINTALES",,702738.43,6168553.39,42.62,3.03,,
1140072,1917/12/03,,"RIBAGORZA (BENASQUE)",ESPAGNE,,497329.22,6169864.73,42.60,0.53,,
1130213,1918/01/01,"0 h 5 min","PIEMONT (MONCALIERI)",ITALIE,,1068827.38,6444359.93,45.00,7.68,5,INCERTAINE
1130214,1918/01/13,"13 h","LOMBARDIE (MILANO)",ITALIE,,1188155.23,6517583.42,45.58,9.27,6,INCERTAINE
1140099,1918/02/22,"20 h 25 min","CATALOGNE (SEO DE URGEL)",ESPAGNE,,569300.06,6138343.24,42.33,1.42,5,INCERTAINE
650279,1918/02/23,"3 h 10 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
660090,1918/02/23,"5 h","VALLESPIR (PRATS-DE-MOLLO)","PYRENEES ORIENTALES",,657396.49,6144589.50,42.40,2.48,,"INFORMATION ISOLÉE"
1130215,1918/03/05,"0 h 55 min","PIEMONT (FENESTRELLE)",ITALIE,,1042482.93,6468805.47,45.23,7.37,5,INCERTAINE
650280,1918/04/04,"13 h 30 min","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,
1100120,1918/05/27,"4 h 9 min 4 sec","LIMBOURG (MAASTRICHT)",HOLLANDE,,890484.37,7086999.68,50.85,5.70,5.5,"INFORMATION ISOLÉE"
830012,1918/08/10,"18 h 44 min 30 sec","BASSE-PROVENCE (TOULON)",PROVENCE,,938794.85,6230444.37,43.13,5.93,2,"INFORMATION ISOLÉE"
830013,1918/08/11,"13 h 23 min","BASSE-PROVENCE (TOULON)",PROVENCE,,938794.85,6230444.37,43.13,5.93,3,"INFORMATION ISOLÉE"
230051,1918/08/12,"15 h","HAUTE-MARCHE (GLENIC)",LIMOUSIN,,611432.53,6574732.46,46.27,1.85,,
1130216,1918/09/28,"17 h 34 min","PIEMONT (SUSA)",ITALIE,,1026088.96,6456798.38,45.13,7.15,5,INCERTAINE
150021,1918/10/18,"0 h 15 min","AUBRAC (CHAUDES-AIGUES)",AUVERGNE,,700000.00,6416758.89,44.85,3.00,,
150022,1918/10/18,"0 h 20 min","AUBRAC (CHAUDES-AIGUES)",AUVERGNE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",700000.00,6416758.89,44.85,3.00,,
150023,1918/10/18,"1 h","AUBRAC (CHAUDES-AIGUES)",AUVERGNE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",700000.00,6416758.89,44.85,3.00,,
500034,1918/10/20,"5 h 57 min","BOCAGE ATHISIEN (S-W. FLERS)",NORMANDIE,,427800.90,6850806.83,48.70,-0.70,4.5,INCERTAINE
560065,1918/10/27,,"PAYS DE LORIENT (PLOUAY)",BRETAGNE,,227426.99,6776325.76,47.92,-3.33,4.5,"INFORMATION ISOLÉE"
610015,1918/11/13,"4 h 30 min","BOCAGE ATHISIEN (E. FLERS)",NORMANDIE,,450335.45,6860922.72,48.80,-0.40,4.5,INCERTAINE
130140,1919/01/11,"8 h","BASSIN D'AIX-EN-PROVENCE (AIX-EN-PROVENCE)",PROVENCE,,898082.47,6273546.49,43.53,5.45,,"INFORMATION ISOLÉE"
1130217,1919/03/16,"20 h 30 min","RIVIERA DI PONENTE (ALBENGA)",ITALIE,,1121242.23,6349349.14,44.12,8.27,4,"ASSEZ SURE"
360038,1919/05/12,"4 h 12 min","VALLEE DE LA CREUSE (ARGENTON-SUR-CREUSE)",BERRY,,588976.04,6610274.07,46.58,1.55,5,"ASSEZ SURE"
1140067,1919/10/04,"2 h 48 min 7 sec","VAL D'ARAN (VIELLA)",ESPAGNE,,521115.20,6187709.54,42.77,0.82,4,"ASSEZ SURE"
1130218,1919/10/27,"1 h 15 min","PIEMONT (CUNEO)",ITALIE,,1060957.95,6375286.13,44.38,7.53,4.5,INCERTAINE
1140045,1919/11/27,"7 h 24 min 42 sec","HAUT-COMMINGES (LUCHON ?)","PYRENEES CENTRALES",,503481.12,6191930.10,42.80,0.60,5.5,INCERTAINE
1130069,1919/11/28,"21 h 38 min","PIEMONT (LIMONE PIEMONTE)",ITALIE,,1066438.47,6349637.13,44.15,7.58,5.5,"ASSEZ SURE"
1140046,1919/11/29,"0 h 25 min 46 sec","VAL D'ARAN (BOHI)",ESPAGNE,,521717.43,6159875.28,42.52,0.83,6,"ASSEZ SURE"
1140047,1919/11/29,"4 h","HAUT-COMMINGES (LUCHON ?)","PYRENEES CENTRALES",REPLIQUE,503481.12,6191930.10,42.80,0.60,,
1140068,1919/12/01,"20 h 45 min","VAL D'ARAN (VIELLA)",ESPAGNE,,522276.91,6180260.10,42.70,0.83,,
1140069,1919/12/02,"20 h 9 min 58 sec","VAL D'ARAN (VIELLA)",ESPAGNE,,522276.91,6180260.10,42.70,0.83,,
1140070,1919/12/03,"20 h","VAL D'ARAN (VIELLA)",ESPAGNE,,519543.44,6180335.70,42.70,0.80,,"INFORMATION ISOLÉE"
1140071,1919/12/04,"8 h 28 min","VAL D'ARAN (VIELLA)",ESPAGNE,,519543.44,6180335.70,42.70,0.80,,"INFORMATION ISOLÉE"
640296,1919/12/07,,"BEARN (PAU)","PYRENEES OCCIDENTALES",,426738.33,6250363.45,43.30,-0.37,,
1100069,1920/01/17,"3 h 11 min 14 sec","HAINAUT (BOUSSU)",BELGIQUE,,756920.24,7037601.31,50.43,3.80,5.5,INCERTAINE
650281,1920/02/28,"4 h 5 min","BIGORRE (LOURDES)","PYRENEES CENTRALES",,451569.12,6227100.97,43.10,-0.05,3.5,"INFORMATION ISOLÉE"
660092,1920/03/01,"22 h 10 min","PLAINE DU ROUSSILLON (TORREILLES)","PYRENEES ORIENTALES",,700000.00,6183382.63,42.75,3.00,,"INFORMATION ISOLÉE"
650518,1920/04/02,"15 h 30 min","BIGORRE (ARGELES-GAZOST)","PYRENEES CENTRALES",,448566.06,6219799.65,43.03,-0.08,5,INCERTAINE
190001,1920/04/10,"23 h","PERIGORD (VALLEE DE LA HAUTE LOUE ?)",AQUITAINE,,555318.56,6481388.70,45.42,1.15,5,INCERTAINE
350032,1920/06/27,"1 h 40 min","PAYS DINANNAIS (ST-SULIAC)",BRETAGNE,,333791.08,6841126.15,48.57,-1.97,5,"ASSEZ SURE"
1130070,1920/09/07,"6 h 30 min","TOSCANE (FIVIZZANO)",ITALIE,,1278640.84,6371137.21,44.20,10.25,9,INCERTAINE
660093,1920/09/10,"23 h 30 min","VALLESPIR (AMELIE-LES-BAINS)","PYRENEES ORIENTALES",,672552.93,6153778.89,42.48,2.67,,"INFORMATION ISOLÉE"
1130219,1920/09/14,"18 h 8 min","RIVIERA DI LEVANTE (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,3,"INFORMATION ISOLÉE"
530018,1920/10,,"MAYENNAIS (AMBRIERES)",MAINE,,431167.92,6817264.56,48.40,-0.63,,"INFORMATION ISOLÉE"
430019,1920/10/03,"4 h","VELAY (LE PUY)",AUVERGNE,,727415.60,6470499.82,45.33,3.35,,
430020,1920/10/03,"4 h 57 min","LIVRADOIS (BRIOUDE)",AUVERGNE,,727415.60,6470499.82,45.33,3.35,5,SURE
430021,1920/10/03,"4 h 58 min","LIVRADOIS (BRIOUDE)",AUVERGNE,REPLIQUE,727415.60,6470499.82,45.33,3.35,,
1130220,1920/10/07,"9 h 30 min","RIVIERA DI LEVANTE (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,2,"INFORMATION ISOLÉE"
1130221,1920/10/11,"0 h 11 min","RIVIERA DI LEVANTE  (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,2,"INFORMATION ISOLÉE"
650283,1920/10/18,"13 h","BIGORRE (ST-PE-DE-BIGORRE)","PYRENEES CENTRALES",,442071.27,6227475.04,43.10,-0.17,,
500035,1920/10/20,"23 h","BOCAGE NORMAND (PERCY)",NORMANDIE,,393550.47,6876639.18,48.92,-1.18,3,"INFORMATION ISOLÉE"
1130222,1920/11/03,"0 h 55 min","RIVIERA DI PONENTE (TAGGIA)",ITALIE,,1089664.91,6319488.32,43.87,7.85,3,"INFORMATION ISOLÉE"
660053,1920/11/18,"20 h 45 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,4,INCERTAINE
660054,1920/11/18,"21 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,,
660055,1920/11/18,"21 h 30 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,5,"ASSEZ SURE"
660056,1920/11/18,"22 h 40 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,5,"ASSEZ SURE"
660057,1920/11/18,"23 h 20 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,,
660058,1920/11/19,"5 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,,
660059,1920/11/19,"5 h 30 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",661782.31,6189056.28,42.80,2.53,,
660060,1920/11/28,"21 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",663157.80,6190901.88,42.82,2.55,,
660061,1920/11/28,"23 h 30 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",653539.73,6181695.68,42.73,2.43,7,INCERTAINE
660062,1920/11/29,"0 h 20 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",659064.27,6190926.51,42.82,2.50,,
660063,1920/11/29,"5 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",659064.27,6190926.51,42.82,2.50,,
530010,1921/01/10,"0 h 20 min","BASSIN DE LAVAL (ST-JEAN-SUR-MAYENNE)",MAINE,,423612.00,6787946.40,48.13,-0.72,5,SURE
530017,1921/01/10,"2 h","MAYENNAIS (AMBRIERES LES VALLEES)",MAINE,,431167.92,6817264.56,48.40,-0.63,3,"INFORMATION ISOLÉE"
1130223,1921/01/25,"23 h","RIVIERA DI LEVANTE  (CHIAVARI)",ITALIE,,1203284.17,6377656.76,44.32,9.32,2.5,"INFORMATION ISOLÉE"
560022,1921/01/26,"21 h 30 min","PAYS DE PONTIVY (KERGRIST)",BRETAGNE,,257926.13,6799956.34,48.15,-2.95,4.5,"ASSEZ SURE"
560044,1921/01/27,"3 h","PAYS DE PONTIVY (KERGRIST)",BRETAGNE,REPLIQUE,257926.13,6799956.34,48.15,-2.95,,"INFORMATION ISOLÉE"
1100106,1921/02/20,"16 h 17 min 35 sec","HAUTES-FAGNES (SPA)",BELGIQUE,,901219.63,7050207.18,50.52,5.83,5,"ASSEZ SURE"
50036,1921/02/26,"14 h","QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES",,986501.88,6404809.05,44.68,6.62,,
650284,1921/03/05,"20 h 45 min","LAVEDAN (ARGELES-GAZOST)","PYRENEES CENTRALES",,452427.83,6214086.27,42.98,-0.03,4.5,INCERTAINE
1130224,1921/03/16,"4 h","RIVIERA DI LEVANTE (LA SPEZIA)",ITALIE,,1246271.41,6358947.50,44.12,9.83,3,"INFORMATION ISOLÉE"
50037,1921/05/03,"8 h 23 min 17 sec","MASSIF DE L'OISANS ?",DAUPHINE,,1005747.14,6416841.58,44.78,6.87,5,INCERTAINE
1100070,1921/05/19,"2 h 41 min 46 sec","FLANDRES (GRAMMONT)",BELGIQUE,,765945.55,7076701.71,50.78,3.93,5,"ASSEZ SURE"
1130225,1921/05/20,"19 h 15 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1256903.02,6359878.90,44.12,9.97,4,"INFORMATION ISOLÉE"
630064,1921/05/24,"3 h 38 min 30 sec","MONTS-DORE (LA BOURBOULE)",AUVERGNE,PRECURSEUR,677919.32,6501944.04,45.62,2.72,,
630065,1921/05/24,"3 h 52 min 35 sec","MONTS-DORE (LA BOURBOULE)",AUVERGNE,,685712.50,6501921.01,45.62,2.82,4.5,"ASSEZ SURE"
1130226,1921/05/31,"4 h 30 min","RIVIERA DI LEVANTE (GENES)",ITALIE,,1181477.11,6331375.04,43.92,9.00,,
490070,1921/08/11,"7 h","SAUMUROIS (ST-CLEMENT-DES-LEVEES)",ANJOU,,459667.45,6697401.20,47.33,-0.18,5,INCERTAINE
490095,1921/08/11,"7 h 45 min","SAUMUROIS (ST-CLEMENT-DES-LEVEES)",ANJOU,REPLIQUE,459667.45,6697401.20,47.33,-0.18,,"INFORMATION ISOLÉE"
650285,1921/09/14,"3 h 59 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,4,"INFORMATION ISOLÉE"
710008,1921/11/07,"23 h","PAYS D'AUTUN ET DU CREUSOT (ECUISSES)",BOURGOGNE,,817044.43,6628901.03,46.75,4.53,5,"INFORMATION ISOLÉE"
1130227,1921/11/29,"12 h 39 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,4,"INFORMATION ISOLÉE"
1130228,1922/01/14,"18 h 7 min","PIEMONT (FENESTRELLE)",ITALIE,,1018807.76,6445298.74,45.03,7.05,4,INCERTAINE
1130229,1922/01/14,"20 h 38 min","PIEMONT (FENESTRELLE)",ITALIE,,1018807.76,6445298.74,45.03,7.05,,
660064,1922/01/22,"1 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",PRECURSEUR,659064.27,6190926.51,42.82,2.50,3,"INFORMATION ISOLÉE"
40075,1922/01/30,"6 h 25 min","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",,958806.03,6338743.55,44.10,6.23,3,"INFORMATION ISOLÉE"
40076,1922/02/03,"4 h 40 min","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",,958806.03,6338743.55,44.10,6.23,,
60070,1922/04/05,"16 h 28 min","BASSE-PROVENCE (CALLIAN)",PROVENCE,,997132.58,6290371.10,43.65,6.68,5,INCERTAINE
1130230,1922/04/21,"7 h 32 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,3,"INFORMATION ISOLÉE"
170123,1922/05/16,"21 h 33 min","AUNIS (LA ROCHELLE)",CHARENTES,,381126.79,6569479.16,46.15,-1.13,4,"ASSEZ SURE"
50038,1922/07/23,,"EMBRUNAIS ?","ALPES DAUPHINOISES",,982292.96,6410176.99,44.73,6.57,,
10030,1922/07/25,"17 h 30 min","DOMBES (MONTLUEL)","BRESSE ET JURA BRESSAN",,865484.83,6531902.77,45.87,5.13,4.5,"ASSEZ SURE"
640297,1922/08/01,"3 h 10 min","BEARN (OGEU-LES-BAINS)","PYRENEES OCCIDENTALES",,411201.37,6236207.44,43.17,-0.55,4,INCERTAINE
660065,1922/08/08,"22 h 37 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",PRECURSEUR,659064.27,6190926.51,42.82,2.50,4,"INFORMATION ISOLÉE"
660066,1922/09/10,"6 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",PRECURSEUR,659064.27,6190926.51,42.82,2.50,3,"INFORMATION ISOLÉE"
40077,1922/09/12,"4 h 15 min","LARAGNE (NIBLES)","ALPES PROVENCALES",,941881.06,6362162.19,44.32,6.03,4,ARBITRAIRE
660067,1922/09/13,"9 h 8 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",PRECURSEUR,663157.80,6190901.88,42.82,2.55,4,"ASSEZ SURE"
1130231,1922/09/15,"7 h 52 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,2,"INFORMATION ISOLÉE"
1130232,1922/09/15,"11 h 24 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,2,"INFORMATION ISOLÉE"
1130233,1922/09/15,"21 h 34 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,2,"INFORMATION ISOLÉE"
660068,1922/09/23,"0 h 56 min","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",,659076.01,6192779.89,42.83,2.50,6.5,SURE
660069,1922/09/29,"2 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",REPLIQUE,663157.80,6190901.88,42.82,2.55,,
230009,1922/10/12,"22 h 30 min","HAUTE-MARCHE (DUN-LE-PALESTEL)",LIMOUSIN,,599911.70,6576762.22,46.28,1.70,5,"ASSEZ SURE"
230052,1922/10/12,"22 h 36 min","HAUTE-MARCHE (DUN-LE-PALESTEL)",LIMOUSIN,REPLIQUE,599911.70,6576762.22,46.28,1.70,,
230053,1922/10/12,"22 h 45 min","HAUTE-MARCHE (DUN-LE-PALESTEL)",LIMOUSIN,REPLIQUE,599911.70,6576762.22,46.28,1.70,,
660070,1922/10/21,"0 h 55 min","CERDAGNE (BOURG-MADAME)","PYRENEES ORIENTALES",,610697.74,6146917.00,42.42,1.92,4,INCERTAINE
60071,1922/10/26,"16 h 48 min","ALPES NICOISES (ROQUEBILLIERE)","ALPES MARITIMES",,1045848.64,6335492.47,44.03,7.32,4,"ASSEZ SURE"
130117,1922/11/07,"4 h 20 min","BASSIN D'AIX-EN-PROVENCE (GARDANNE)",PROVENCE,,897249.08,6256840.01,43.38,5.43,4.5,INCERTAINE
90016,1922/11/17,"21 h 10 min","COUSERANS (SEIX)","PYRENEES CENTRALES",,563556.77,6192236.92,42.82,1.33,5,"ASSEZ SURE"
220019,1922/12/19,"15 h 50 min","PAYS DINANNAIS (EVRAN)",BRETAGNE,,334438.04,6831803.46,48.48,-1.95,4.5,"ASSEZ SURE"
660072,1922/12/28,"7 h","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",REPLIQUE,667251.34,6190879.85,42.82,2.60,2,"INFORMATION ISOLÉE"
660073,1922/12/28,"9 h 52 min","PLAINE DU ROUSSILLON (MILLAS)","PYRENEES ORIENTALES",,674029.31,6179727.46,42.72,2.68,6,SURE
710018,1923/,,"PAYS D'AUTUN ET DU CREUSOT (ST-PIERRE-DE-V.)",BOURGOGNE,,814324.51,6638105.66,46.83,4.50,5,"INFORMATION ISOLÉE"
1150036,1923/02/01,"22 h","CORNWALL (REDRUTH)",GRANDE-BRETAGNE,,101485.78,7039414.09,50.17,-5.38,5,INCERTAINE
1130234,1923/02/05,"5 h 50 min","PIEMONT (FENESTRELLE)",ITALIE,,1018807.76,6445298.74,45.03,7.05,3,"INFORMATION ISOLÉE"
680074,1923/03/04,"20 h 45 min","PLAINE DE HAUTE-ALSACE (TURCKHEIM)",ALSACE,,1017451.28,6786314.95,48.10,7.27,4.5,SURE
680125,1923/03/05,"2 h","PLAINE DE HAUTE-ALSACE (KIENTZHEIM)",ALSACE,REPLIQUE,1018489.22,6790080.95,48.13,7.28,,"INFORMATION ISOLÉE"
1130235,1923/03/22,"2 h 3 min","RIVIERA DI PONENTE (ALESSANDRIA)",ITALIE,,1157212.13,6424253.92,44.77,8.78,3,"INFORMATION ISOLÉE"
500036,1923/04/11,"20 h 20 min","MANCHE (W. HAUTEVILLE-SUR-MER)",NORMANDIE,,354193.08,6873290.81,48.87,-1.72,5,"ASSEZ SURE"
1130236,1923/06/17,"1 h 32 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,2,"INFORMATION ISOLÉE"
1130237,1923/06/17,"7 h 3 min","PIEMONT (OROPA)",ITALIE,,1088103.65,6514155.13,45.62,7.98,2,"INFORMATION ISOLÉE"
490071,1923/07/02,"7 h 15 min","VALLEE DE LA LOIRE (ST-GEORGES-SUR-LOIRE)",ANJOU,,413589.20,6708706.23,47.42,-0.80,4,"ASSEZ SURE"
1140048,1923/07/10,"5 h 31 min 12 sec","NAVARRE (BERDUN)",ESPAGNE,,378455.13,6178382.78,42.63,-0.92,7.5,"ASSEZ SURE"
1150091,1923/08/10,"23 h 30 min",GUERNSEY,"ILES ANGLO-NORMANDES",,289171.77,6940735.59,49.43,-2.67,4.5,INCERTAINE
1140100,1923/09/09,"11 h 35 min 9 sec","CATALOGNE (CAMPRODON)",ESPAGNE,,642246.62,6140997.58,42.37,2.30,5,INCERTAINE
50039,1923/09/11,"4 h 23 min","BRIANCONNAIS (BRIANCON ?)","ALPES DAUPHINOISES",,986714.23,6428909.85,44.90,6.63,5,INCERTAINE
220020,1923/09/16,"2 h","TREGOR (ILE DE BREHAT)",BRETAGNE,,262284.61,6873945.51,48.82,-2.97,5,"ASSEZ SURE"
